company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:79809,consulting,operating,USA,MA,Cambridge,Boston,,,,,,,,False,False,False,2922.0,,,,,1.0,1600000.0,0.0,1
c:79811,news,operating,DEU,,Hamburg,Hamburg,,,,,,,,False,False,False,,,,,,1.0,,1.0,1
c:79822,mobile,closed,BEL,,Ghent,Ghent,,,,,,,,False,False,True,1006.0,,,,,1.0,50000.0,0.0,1
c:79828,software,operating,USA,AZ,Scottsdale,Phoenix,,,,,,,,False,False,False,931.0,,,,,1.0,20000.0,1.0,1
c:79831,,operating,ISR,,Tel-Aviv,Tel Aviv,,,,,,,,False,False,False,2192.0,,,,,1.0,1000000.0,0.5,2
c:79848,health,operating,FIN,,Espoo,Espoo,,,,,,,,False,False,False,,,,1.0,,1.0,11642130.0,4.0,1
c:79859,news,operating,IRL,,Dublin,Dublin,,,,,,,,False,False,False,1360.0,,,,4.0,1.0,,1.0,1
c:79862,enterprise,operating,CYP,,Nicosia,Nicosia,,,,,,,,False,False,False,2105.0,,,,,1.0,21596.0,0.0,1
c:79868,web,operating,FIN,,Tampere,Tampere,,,,,,,,False,False,False,1614.0,,,,,1.0,647865.0,3.0,1
c:79900,sports,operating,USA,GA,Atlanta,Atlanta,,,,,,,,False,False,False,1249.0,1.0,,,2.0,1.0,,3.0,1
c:79902,ecommerce,operating,,,,unknown,,,,,,,,False,False,False,1065.0,,,,,,20000.0,1.0,1
c:79908,mobile,operating,USA,NJ,Collingswood,Philadelphia,,,,,,,,False,False,False,2192.0,3.0,,2.0,12.0,1.0,18000000.0,0.0,1
c:79933,games_video,operating,DNK,,Copenhagen,DNK,,,,,,,,False,False,False,762.0,1.0,,1.0,4.0,1.0,2500000.0,5.0,1
c:79936,security,operating,USA,CA,Cupertino,SF Bay,,,,,,,,False,False,False,1461.0,3.0,3.0,2.0,12.0,2.0,18950000.0,4.0,4
c:79938,mobile,operating,USA,NY,New York City,New York,,,,,,,,False,False,False,1033.0,,,,,1.0,15000.0,0.0,1
c:79940,enterprise,operating,USA,IL,Chicago,Chicago,,,,,,,,False,False,False,6940.0,4.0,,3.0,23.0,1.0,45000000.0,1.0,1
c:79941,manufacturing,operating,CAN,,"Halifax, Nova Scotia",Halifax,,,,,,,,False,False,False,,,,,,1.0,4000000.0,1.0,1
c:79946,biotech,operating,USA,NH,Manchester,Manchester,,,,,,,,False,False,False,1826.0,,,,,1.0,2000000.0,0.0,1
c:79949,other,operating,USA,CA,Oakland,SF Bay,,,,,,,,False,False,False,,,,,,1.0,150000.0,0.0,1
c:79951,cleantech,closed,USA,CA,Mojave,Mojave,,,,,,,,False,False,True,,,,,,1.0,102000000.0,1.0,1
c:79973,advertising,operating,SGP,,Singapore,Singapore,,,,,,,,False,False,False,2891.0,2.0,,3.0,11.0,5.0,10000000.0,1.0,2
c:79974,medical,operating,GBR,,London,London,,,,,,,,False,False,False,,,,,,1.0,2159550.0,0.0,1
c:79982,enterprise,operating,USA,NY,New York,New York,,,,,,,,False,False,False,2922.0,2.0,,,11.0,1.0,6000000.0,1.0,1
c:79984,medical,operating,IRL,,Dublin,Dublin,,,,,,,,False,False,False,,,,,,1.0,284240.0,1.0,1
c:79991,education,operating,USA,CA,Campbell,SF Bay,,,,,,,,False,False,False,945.0,,1.0,1.0,3.0,1.0,4391496.0,0.0,1
c:79993,games_video,operating,NLD,,Oldenzaal,Oldenzaal,,,,,,,,False,False,False,1096.0,,,,,2.0,500000.0,1.0,1
c:79994,social,operating,USA,TX,Austin,Austin,,,,,,,,False,False,False,,,,,,1.0,1200000.0,0.0,1
c:80009,mobile,acquired,,,,unknown,,,,,,,2012-07-17,False,True,False,,2.0,,2.0,8.0,,1000000.0,5.0,1
c:80013,mobile,operating,USA,CA,Santa Monica,Los Angeles,,,,,,,,False,False,False,1461.0,1.0,,1.0,1.0,1.0,998166.6666666666,0.0,3
c:80020,photo_video,acquired,USA,WA,Seattle,Seattle,,,,,,,2013-10-07,False,True,False,1096.0,,,,3.0,1.0,1300000.0,5.0,1
c:80039,ecommerce,operating,NLD,,Amsterdam,Amsterdam,,,,,,,,False,False,False,1280.0,,,,,1.0,200000.0,1.0,1
c:80059,web,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2013-05-22,False,True,False,1461.0,1.0,,,4.0,1.0,2800000.0,6.0,1
c:80065,advertising,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,1461.0,1.0,,,12.0,1.0,3301958.0,0.0,1
c:80070,consulting,operating,USA,CT,Westport,Westport,,,,,,,,False,False,False,,,,,,1.0,3000000.0,0.0,1
c:80081,analytics,operating,USA,NC,Durham,Raleigh-Durham,,,,,,,,False,False,False,2192.0,1.0,,,7.0,2.0,2000000.0,1.0,2
c:80082,semiconductor,operating,USA,CA,Milpitas,SF Bay,,,,,,,,False,False,False,1402.0,,,,,1.0,12000000.0,2.0,1
c:80087,cleantech,operating,USA,TN,Knoxville,Knoxville,,,,,,,,False,False,False,,,,1.0,1.0,1.0,3000000.0,1.0,1
c:80088,finance,operating,IRL,,Dublin 2,Dublin,,,,,,,,False,False,False,,,1.0,,2.0,1.0,,1.0,1
c:80116,ecommerce,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,43000000.0,0.0,1
c:80140,mobile,operating,USA,CA,Redwood City,SF Bay,,,,,,,,False,False,False,924.0,1.0,,,5.0,1.0,,0.5,2
c:80141,software,operating,USA,MI,Troy,Detroit,,,,,,,,False,False,False,1006.0,,,,,1.0,,1.0,1
c:80142,ecommerce,acquired,,,,unknown,,,,,,,2013-09-02,False,True,False,1006.0,,,,,,,1.0,1
c:80153,security,operating,USA,CA,Redwood City,SF Bay,,,,,,,,False,False,False,1280.0,,1.0,1.0,3.0,1.0,4500000.0,7.5,2
c:80180,advertising,operating,CHN,,Shanghai,Shanghai,,,,,,,,False,False,False,1096.0,,,,,1.0,7000000.0,0.0,1
c:80189,analytics,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-11-07,False,True,False,1037.0,1.0,,,6.0,1.0,2000000.0,1.0,1
c:80218,medical,closed,USA,NY,NY,New York,,,,,,,,False,False,True,1188.0,1.0,1.0,,2.0,1.0,,9.0,1
c:80221,web,operating,USA,CA,Mountain View,SF Bay,,,,,,,,False,False,False,1006.0,,,,,1.0,,0.0,1
c:80228,enterprise,closed,USA,CA,Oakland,SF Bay,,,,,,,,False,False,True,1388.0,,,,,1.0,5000.0,0.0,1
c:80233,ecommerce,operating,IND,,Chennai,Chennai,,,,,,,,False,False,False,1918.0,,,,,1.0,10500000.0,0.0,2
c:80236,search,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,1461.0,,,,,1.0,150000.0,0.0,1
c:80240,news,acquired,GBR,,London,London,,,,,,,2013-04-10,False,True,False,1006.0,,,,3.0,1.0,400000.0,3.0,1
c:80245,music,operating,HUN,,Budapest,Budapest,,,,,,,,False,False,False,1186.0,,,,,1.0,10000.0,1.0,1
c:80253,web,operating,CHN,,Shanghai,Shanghai,,,,,,,,False,False,False,1826.0,,,1.0,2.0,3.0,300000.0,1.0,2
c:80259,web,closed,USA,CA,Los Gatos,SF Bay,,,,,,,,False,False,True,1096.0,,,,,1.0,2000000.0,1.0,1
c:80260,mobile,operating,USA,NC,Charlotte,Charlotte,,,,,,,,False,False,False,1178.0,,,,2.0,1.0,300000.0,0.0,1
c:80265,,operating,GBR,,,United Kingdom - Other,,,,,,,,False,False,False,,,,,,1.0,,1.0,1
c:80276,advertising,operating,,,,unknown,,,,,,,,False,False,False,,,,1.0,1.0,,50000.0,1.0,1
c:80277,enterprise,operating,USA,MO,St. Louis,Saint Louis,,,,,,,,False,False,False,2192.0,,,,1.0,1.0,275000.0,1.0,2
c:80294,other,operating,USA,NY,New York,New York,,,,,,,,False,False,False,365.0,,,,5.0,1.0,1300000.0,4.0,1
c:80314,biotech,operating,ROM,,Bucharest,Bucharest,,,,,,,,False,False,False,1188.0,,,,2.0,1.0,68630.0,0.0,1
c:80320,software,operating,FRA,,Paris,Paris,,,,,,,,False,False,False,1461.0,,,,,2.0,57000.0,1.0,1
c:80333,manufacturing,operating,DEU,,Gruibingen,Gruibingen,,,,,,,,False,False,False,1402.0,,,,,1.0,,1.0,1
c:80335,web,operating,ROM,,Timisoara,Timisoara,,,,,,,,False,False,False,2192.0,,,,1.0,1.0,,1.0,1
c:80337,social,operating,USA,VA,Alexandria,Washington DC,,,,,,,,False,False,False,2192.0,,,,2.0,1.0,1787500.0,1.0,1
c:80348,web,operating,IRL,,Dublin 18,Dublin,,,,,,,,False,False,False,1037.0,,,,,1.0,200000.0,0.0,1
c:80352,software,operating,USA,NY,New York,New York,,,,,,,,False,False,False,847.0,,,,1.0,1.0,400000.0,0.0,1
c:80356,advertising,operating,FRA,,Paris,Paris,,,,,,,,False,False,False,945.0,,,,,1.0,3216500.0,1.0,1
